"filename", "language", "YAML", "Markdown", "JSON", "HTML", "Dart", "Properties", "XML", "comment", "blank", "total"
"c:\Users\EK\Desktop\untitled2\lib\features\formations\My formations\logic\cubit\my_formation_cubit.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"c:\Users\EK\Desktop\untitled2\lib\features\formations\My formations\logic\cubit\my_formation_state.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 6, 17
"c:\Users\EK\Desktop\untitled2\lib\features\formations\My formations\logic\cubit\my_formation_state.freezed.dart", "Dart", 0, 0, 0, 0, 561, 0, 0, 43, 78, 682
"c:\Users\EK\Desktop\untitled2\lib\features\formations\My formations\ui\my_formations.dart", "Dart", 0, 0, 0, 0, 67, 0, 0, 12, 4, 83
"c:\Users\EK\Desktop\untitled2\lib\features\formations\My formations\ui\widgets\my_formations_item.dart", "Dart", 0, 0, 0, 0, 77, 0, 0, 1, 4, 82
"c:\Users\EK\Desktop\untitled2\lib\features\formations\create formation\data\models\create_formation_request_body.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\EK\Desktop\untitled2\lib\features\formations\create formation\data\models\create_formation_request_body.g.dart", "Dart", 0, 0, 0, 0, 17, 0, 0, 4, 5, 26
"c:\Users\EK\Desktop\untitled2\lib\features\formations\create formation\data\models\create_formation_response.dart", "Dart", 0, 0, 0, 0, 41, 0, 0, 0, 7, 48
"c:\Users\EK\Desktop\untitled2\lib\features\formations\create formation\data\models\create_formation_response.g.dart", "Dart", 0, 0, 0, 0, 48, 0, 0, 4, 7, 59
"c:\Users\EK\Desktop\untitled2\lib\features\formations\create formation\data\repos\create_formation_repo.dart", "Dart", 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
"c:\Users\EK\Desktop\untitled2\lib\features\formations\create formation\logic\cubit\create_formation_cubit.dart", "Dart", 0, 0, 0, 0, 29, 0, 0, 0, 7, 36
"c:\Users\EK\Desktop\untitled2\lib\features\formations\create formation\logic\cubit\create_formation_state.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\EK\Desktop\untitled2\lib\features\formations\create formation\logic\cubit\create_formation_state.freezed.dart", "Dart", 0, 0, 0, 0, 558, 0, 0, 42, 78, 678
"c:\Users\EK\Desktop\untitled2\lib\features\formations\create formation\ui\create_formation.dart", "Dart", 0, 0, 0, 0, 59, 0, 0, 0, 5, 64
"c:\Users\EK\Desktop\untitled2\lib\features\formations\create formation\ui\widgets\create_formation_bloc_listener.dart", "Dart", 0, 0, 0, 0, 39, 0, 0, 2, 3, 44
"c:\Users\EK\Desktop\untitled2\lib\features\formations\create formation\ui\widgets\create_formation_form.dart", "Dart", 0, 0, 0, 0, 80, 0, 0, 0, 3, 83
"c:\Users\EK\Desktop\untitled2\lib\features\home\homepage.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 4, 41
"c:\Users\EK\Desktop\untitled2\lib\features\home\video_lesson.dart", "Dart", 0, 0, 0, 0, 47, 0, 0, 0, 3, 50
"c:\Users\EK\Desktop\untitled2\lib\features\home\video_player_view.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 9, 46
"c:\Users\EK\Desktop\untitled2\lib\features\lessons\create lesson\data\models\create_lesson_request_body.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\Users\EK\Desktop\untitled2\lib\features\lessons\create lesson\data\models\create_lesson_request_body.g.dart", "Dart", 0, 0, 0, 0, 21, 0, 0, 4, 5, 30
"c:\Users\EK\Desktop\untitled2\lib\features\lessons\create lesson\data\models\create_lesson_response.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 4, 37
"c:\Users\EK\Desktop\untitled2\lib\features\lessons\create lesson\data\models\create_lesson_response.g.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 4, 5, 34
"c:\Users\EK\Desktop\untitled2\lib\features\lessons\create lesson\data\repos\create_lesson_repo.dart", "Dart", 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\EK\Desktop\untitled2\lib\features\lessons\create lesson\logic\cubit\create_lesson_cubit.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 7, 40
"c:\Users\EK\Desktop\untitled2\lib\features\lessons\create lesson\logic\cubit\create_lesson_state.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
